"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233777","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","21-Aug-2026","DARSH BUILDCON","Payment In-Progress","799146"
"2","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233878","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","832080"
"3","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233781","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","498309"
"4","Odisha","Construction of community centers and community halls","WS/MP370/2024-2025/145537","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","31-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","2000"
"5","Karnataka","Installing tube-wells and borewells","WS/MP18093/2026-2027/217130","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","27-Jul-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","375000"
"6","Karnataka","Construction of community centers and community halls","WS/MP18093/2026-2027/228510","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","02-Jul-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"7","Karnataka","Construction of additional rooms and halls in the existing public and community building","WS/MP18082/2025-2026/242466","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","31-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","375000"
"8","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP641/2025-2026/220322","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","31-Aug-2026","NAGAR PALIKA PARISHAD BARWANI","Payment In-Progress","99254"
"9","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/273954","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"10","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/245795","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","124750"
"11","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/247818","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","124750"
"12","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/159994","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","125000"
"13","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/159991","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","125000"
"14","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/159993","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","125000"
"15","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171412","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"16","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/183819","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"17","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184028","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"18","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184243","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"19","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184254","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"20","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184255","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"21","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184264","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"22","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184266","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"23","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184279","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"24","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184305","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"25","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184282","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"26","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184280","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"27","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184088","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"28","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184034","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"29","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184031","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"30","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184234","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"31","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184239","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"32","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214321","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"33","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214004","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"34","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214008","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"35","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214202","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"36","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214253","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"37","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214320","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"38","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214196","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"39","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214193","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"40","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214195","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"41","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214174","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"42","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214190","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"43","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214104","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"44","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214105","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"45","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214106","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"46","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214103","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"47","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214115","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"48","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214107","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"49","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214060","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"50","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214061","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"51","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214059","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"52","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214001","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"53","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214002","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"54","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214003","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"55","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214058","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"56","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214009","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"57","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214010","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"58","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171510","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"59","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171469","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"60","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171470","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"61","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171466","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"62","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171467","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"63","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171454","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"64","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171451","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"65","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171468","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"66","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171411","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"67","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171420","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"68","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171502","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"69","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171449","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"70","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171581","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"71","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171580","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"72","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171410","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"73","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171571","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"74","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171577","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"75","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171579","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"76","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171582","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"77","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171370","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"78","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171388","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"79","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171501","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"80","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171499","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"81","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171497","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"82","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184343","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"83","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184332","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"84","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184328","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"85","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184330","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"86","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171392","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"87","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171393","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"88","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184316","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"89","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184319","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"90","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171592","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"91","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171610","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"92","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171611","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"93","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171612","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"94","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171613","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"95","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171614","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"96","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182256","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"97","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/172029","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"98","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182254","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"99","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182255","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"100","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182258","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"101","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182257","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"102","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182259","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"103","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182263","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"104","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182264","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"105","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/183845","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"106","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186925","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
