"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"868","Karnataka","Construction of community centers and community halls","WS/MP18093/2026-2027/246220","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","22-Jun-2026","TUMKUR NIRMITHI KENDRA","Payment In-Progress","750000"
"869","Karnataka","Construction of rooms and halls in school and colleges","WS/MP18093/2026-2027/257152","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","22-Jun-2026","TUMKUR NIRMITHI KENDRA","Payment In-Progress","1500000"
"870","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18076/2024-2025/145643","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","DR C N MANJUNATH","BANGALORE RURAL","03-Sep-2026","PROJECT MANAGER NIRMITHI KENDRA RAMANAGARA","Payment In-Progress","125000"
"871","Uttar Pradesh","Installing hand pumps","WS/MP18225/2024-2025/144734","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","22-Dec-2025","VIVEK ENTERPRISES","Payment In-Progress","29578"
"872","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2026-2027/228652","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","14-May-2026","PRAVINDRA KUMAR","Payment In-Progress","1138440"
"873","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2026-2027/259269","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","06-Aug-2026","PRAVINDRA KUMAR","Payment In-Progress","53264"
"874","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2026-2027/240893","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","04-Aug-2026","PRAVINDRA KUMAR","Payment In-Progress","107938"
"875","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2026-2027/242943","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","04-Aug-2026","PRAVINDRA KUMAR","Payment In-Progress","239848"
"876","Uttar Pradesh","Street lights","WS/MP18205/2024-2025/148363","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","SANATAN PANDEY","BALLIA","06-Aug-2025","SHRI SAI ENGINEERING WORKS","Payment In-Progress","216409"
"877","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2026-2027/278423","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","05-Aug-2026","A P DEVELOPERS","Payment In-Progress","439619"
"878","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","MAHALUXMI BKO","Payment In-Progress","34000"
"879","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","11-Aug-2026","MAHALUXMI BKO","Payment In-Progress","117702"
"880","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","HANUMAN CONSTRUCTION","Payment In-Progress","358019"
"881","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2024-2025/143897","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","20-Aug-2026","A P DEVELOPERS","Payment In-Progress","78743"
"882","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18087/2026-2027/291101","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","BASAVARAJ BOMMAI","HAVERI","02-Sep-2026","Bommai Zilla Nirmithi Kendra","Payment In-Progress","250000"
"883","Karnataka","Construction of buildings for community cultural activities","WS/MP18087/2026-2027/241219","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","BASAVARAJ BOMMAI","HAVERI","02-Sep-2026","Bommai Zilla Nirmithi Kendra","Payment In-Progress","125000"
"884","Karnataka","Construction of buildings for community cultural activities","WS/MP18087/2025-2026/240382","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","BASAVARAJ BOMMAI","HAVERI","02-Sep-2026","Bommai Zilla Nirmithi Kendra","Payment In-Progress","125000"
"885","Karnataka","Construction of buildings for community cultural activities","WS/MP18087/2025-2026/240376","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","BASAVARAJ BOMMAI","HAVERI","02-Sep-2026","Bommai Zilla Nirmithi Kendra","Payment In-Progress","250000"
"886","Karnataka","Construction of buildings for community cultural activities","WS/MP18087/2025-2026/179229","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","BASAVARAJ BOMMAI","HAVERI","02-Sep-2026","Bommai Zilla Nirmithi Kendra","Payment In-Progress","125000"
"887","Karnataka","Construction of buildings for community cultural activities","WS/MP18087/2025-2026/241220","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","BASAVARAJ BOMMAI","HAVERI","02-Sep-2026","Bommai Zilla Nirmithi Kendra","Payment In-Progress","125000"
"888","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18312/2025-2026/213188","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","31-Aug-2026","K THIAGARAJAN","Payment In-Progress","569826"
"889","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18238/2025-2026/214951","DEORIA(DISTRICT MAGISTRATE DEORIA)","RAMASHANKAR RAJBHAR","SALEMPUR","22-Aug-2026","MS AKHAND PRATAP TRADERS","Payment In-Progress","524573"
